isbn,title,author,price,nstc,format,publisher,release_date,Language,store_stock,store_location,nur,thema_codes,libris_url,cover_url
9780006514091,The Glass Palace,Amitav Ghosh,22.5,2468646,Gebonden,The Borough Press,22/06/2015,ENG,0,Fictie - Engelstalig ,,,https://libris.nl/9780006514091,https://images.mind-books.nl/libris/book/cover/9780006514091
9780007258710,Temeraire,Naomi Novik,29.95,2468622,Paperback,HarperVoyager,08/04/2022,ENG,2,Fictie - Engelstalig ,,,https://libris.nl/9780007258710,https://images.mind-books.nl/libris/book/cover/9780007258710
9780007489480,Picture Perfect,Holly Smale,9.95,2469027,Paperback,HarperCollins,03/12/2020,ENG,0,Fictie - Engelstalig ,,,https://libris.nl/9780007489480,https://images.mind-books.nl/libris/book/cover/9780007489480
9780007581085,Architecture,Dan Cruickshank,15.99,2469101,Paperback,HarperCollins Publishers,08/04/2021,ENG,0,Fictie - Engelstalig ,,,https://libris.nl/9780007581085,https://images.mind-books.nl/libris/book/cover/9780007581085
9780007946853,HOLY BIBLE: King James Version (KJV) Black Presentation Edition,Collins UK,12.5,2469084,Gebonden,HarperCollins Publishers,16/08/2020,ENG,1,Fictie - Engelstalig ,,,https://libris.nl/9780007946853,https://images.mind-books.nl/libris/book/cover/9780007946853
9780008149314,Jimmy Page: The Definitive Biography,Chris Salewicz,15.99,2468612,Paperback,HarperCollins Publishers Ltd,13/10/2024,ENG,0,Fictie - Engelstalig ,,,https://libris.nl/9780008149314,https://images.mind-books.nl/libris/book/cover/9780008149314
9780008214203,Beren and Luthien,J. R. R. Tolkien,15.99,2468276,midprice,HarperCollins Publishers,06/02/2001,ENG,0,Fictie - Engelstalig ,,,https://libris.nl/9780008214203,https://images.mind-books.nl/libris/book/cover/9780008214203
9780008216214,The Peregrine: 50th Anniversary Edition,J. A. Baker,10,2469103,Gebonden,HarperCollins Publishers,15/05/2021,ENG,0,Fictie - Engelstalig ,,,https://libris.nl/9780008216214,https://images.mind-books.nl/libris/book/cover/9780008216214
9780008322809,My Antonia,Willa Cather,12.5,2468351,Paperback,William Collins,15/05/2007,ENG,1,Fictie - Engelstalig ,,,https://libris.nl/9780008322809,https://images.mind-books.nl/libris/book/cover/9780008322809
9780008436445,YouÃ¢Â€Â™re Dad,Liz Climo,15.99,2469047,Paperback,HarperCollins Publishers,22/06/2021,ENG,0,Fictie - Engelstalig ,,,https://libris.nl/9780008436445,https://images.mind-books.nl/libris/book/cover/9780008436445
9780008450717,Upon a Frosted Star,M.A. Kuzniar,9.95,2468139,Paperback,HarperCollins Publishers,01/01/2014,ENG,0,Fictie - Engelstalig ,,,https://libris.nl/9780008450717,https://images.mind-books.nl/libris/book/cover/9780008450717
9780008599188,The Showman,Simon Shuster,12.5,2468725,e-book,HarperCollins Publishers,03/12/2020,ENG,0,Online kopen,,,https://libris.nl/9780008599188,https://images.mind-books.nl/libris/book/cover/9780008599188
9780008792060,On Wings Of Blood,Briar Boleyn,9.99,2468364,e-book,HarperCollins Publishers,15/05/2020,ENG,0,Online kopen,,,https://libris.nl/9780008792060,https://images.mind-books.nl/libris/book/cover/9780008792060
